source	rate_label	rate_per_generation	Ne	scenario	locus	n_typed	age_bound_Ma	p_all_I	p_all_II	p_sample_mixed	p_all_I_given_TypeI_detected
Harpak_2017	estimate	2.5e-07	10000	older_loci_unlimited_time	1q22	348	2.0	0.010291048606066854	0.9286643971450979	0.06104455424883526	0.14426244671961383
Harpak_2017	estimate	2.5e-07	10000	older_loci_unlimited_time	3q13.2	347	2.0	0.010291126182807746	0.9286910787499693	0.061017795067223046	0.14431751318637862
Harpak_2017	estimate	2.5e-07	10000	older_loci_unlimited_time	3q27.2	369	2.0	0.010289516635432722	0.9281212611479449	0.06158922221662233	0.1431510457718407
Harpak_2017	estimate	2.5e-07	10000	older_loci_unlimited_time	5q33.3	481	2.0	0.01028360555095417	0.9256676052171083	0.06404878923193746	0.13834621608775402
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	10p12.1	427	2.91	0.03779400426146406	0.8430818197963766	0.1191241759421593	0.2408516604794998
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	11q23.3	523	24.18	0.37113307641354276	0.5486870767295524	0.08017984685690482	0.8223409020156568
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	12q13.2	237	2.0	0.020583604683795824	0.8691033930939563	0.11031300222224782	0.1572508651700234
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	19p12e	489	23.47	0.36214115848625733	0.5572819555207299	0.08057688599301283	0.817995026410572
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	1p31.1b	67	2.0	0.02078243276090722	0.8912360658182449	0.08798150142084793	0.19107834703898952
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	1q22	348	2.0	0.02055862065418877	0.8624648513152499	0.11697652803056136	0.14947903027546808
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	1q23.3	350	14.14	0.23130000868733488	0.6761071878851181	0.09259280342754694	0.7141251674498256
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	21q21.1	181	6.27	0.1003126422776242	0.8018433551504975	0.09784400257187831	0.5062290106587666
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	22q11.21	217	3.34	0.046030893350717174	0.8471939452211692	0.10677516142811361	0.3012373653474766
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	3p25.3	381	21.96	0.3425916161324859	0.5772391603493489	0.08016922351816524	0.810367432365748
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	3q12.3	371	9.98	0.16460555767991744	0.7339110935555376	0.1014833487645449	0.6186111246778851
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	3q13.2	347	2.0	0.02055877437669649	0.862514410637702	0.11692681498560153	0.14953403096320592
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	3q27.2	369	2.0	0.02055558496593063	0.8614563211133237	0.11798809392074561	0.14836898464883666
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	4q32.3	364	16.73	0.2701033398138836	0.6414737932749848	0.08842286691113155	0.7533712591923559
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	5p12	504	24.24	0.37188816958386556	0.5484343927580033	0.07967743765813107	0.8235529092997742
Harpak_2017	upper_95CI	5e-07	10000	individual_older_upper_bounds	5q33.3	481	2.0	0.02054387171103665	0.8569075585401679	0.12254856974879547	0.14357062819983807
Harpak_2017	upper_95CI	5e-07	10000	double_older_upper_bounds	10p12.1	427	5.82	0.0921212467997821	0.7953482701700558	0.11253048303016211	0.45013666327829466
Harpak_2017	upper_95CI	5e-07	10000	double_older_upper_bounds	11q23.3	523	48.36	0.6122659501423462	0.338298381399382	0.0494356684582718	0.9252900898703869
Harpak_2017	upper_95CI	5e-07	10000	double_older_upper_bounds	12q13.2	237	2.0	0.020583604683795824	0.8691033930939563	0.11031300222224782	0.1572508651700234
Harpak_2017	upper_95CI	5e-07	10000	double_older_upper_bounds	19p12e	489	46.94	0.6010975075023213	0.34851153047222777	0.05039096202545096	0.9226525650377564
Harpak_2017	upper_95CI	5e-07	10000	double_older_upper_bounds	1p31.1b	67	2.0	0.02078243276090722	0.8912360658182449	0.08798150142084793	0.19107834703898952
Harpak_2017	upper_95CI	5e-07	10000	double_older_upper_bounds	1q22	348	2.0	0.02055862065418877	0.8624648513152499	0.11697652803056136	0.14947903027546808
